end_time,artist_name,track_name,ms_played
2021-04-03 20:54,Justin Bieber,Peaches (feat. Daniel Caesar & Giveon),198081
2021-04-03 20:57,Justin Bieber,Love You Different (feat. BEAM),186695
2021-04-03 21:00,Justin Bieber,Loved By You (feat. Burna Boy),159250
2021-04-03 21:03,Justin Bieber,Anyone,190779
2021-04-03 21:06,Justin Bieber,Lonely (with benny blanco),149189
2021-04-03 21:09,Justin Bieber,There She Go (feat. Lil Uzi Vert),215019
2021-04-03 21:13,Justin Bieber,I Can't Be Myself (feat. Jaden),193359
2021-04-03 21:16,Justin Bieber,Lifetime,207020
2021-04-03 21:20,Justin Bieber,Wish You Would (feat. Quavo),241391
2021-04-03 21:21,Justin Bieber,Know No Better (feat. DaBaby),65468
2021-04-03 21:23,Justin Bieber,2 Much,152796
2021-04-03 21:27,Justin Bieber,Deserve You,61324
2021-04-03 21:28,Justin Bieber,As I Am (feat. Khalid),13500
2021-04-03 21:33,NF,CLOUDS,243760
2021-04-03 21:36,NF,THAT'S A JOKE,229657
2021-04-03 21:41,NF,JUST LIKE YOU,251237
2021-04-03 21:45,NF,STORY,272501
2021-04-03 21:49,NF,The Search,248053
2021-04-03 21:54,NF,Leave Me Alone,308652
2021-04-03 21:55,NF,Change,6375
2021-04-03 21:59,NF,CLOUDS,243760
2021-04-03 22:02,NF,THAT'S A JOKE,229657
2021-04-03 22:07,NF,JUST LIKE YOU,251237
2021-04-03 22:08,NF,STORY,103708
2021-04-03 22:12,NF,LOST,234852
2021-04-03 22:16,NF,LAYERS,195226
2021-04-04 00:59,NF,DRIFTING,5665
2021-04-04 07:06,Kanye West,Famous,196040
2021-04-04 07:07,Kanye West,Feedback,10370
2021-04-04 07:08,Sister Nancy,Bam Bam,79338
2021-04-04 07:09,Nina Simone,Feeling Good,78016
2021-04-04 07:12,Nina Simone,Strange Fruit,170495
2021-04-04 07:47,Nina Simone,Be My Husband,38538
2021-04-04 17:47,NF,CLOUDS,243760
2021-04-04 19:47,NF,THAT'S A JOKE,229656
2021-04-04 19:51,NF,JUST LIKE YOU,251236
2021-04-04 19:52,NF,STORY,47762
2021-04-04 20:05,NF,PRIDEFUL,205768
2021-04-04 20:09,NF,LOST,234852
2021-04-04 20:12,NF,LAYERS,195226
2021-04-04 20:16,NF,DRIFTING,200049
2021-04-04 20:17,NF,TRUST,51249
2021-04-04 20:37,NF,CLOUDS,4106
2021-04-04 20:41,NF,CLOUDS,239446
2021-04-04 20:45,NF,THAT'S A JOKE,229657
2021-04-04 20:49,NF,JUST LIKE YOU,251237
2021-04-04 20:52,NF,STORY,195253
2021-04-04 20:56,Manchester Orchestra,Keel Timing,258187
2021-04-04 21:00,Manchester Orchestra,Bed Head,244493
2021-04-04 22:02,KennyHoopla,estella//,118733
2021-04-04 22:58,KennyHoopla,estella//,118733
2021-04-04 23:04,NF,CLOUDS,243760
2021-04-04 23:08,NF,THAT'S A JOKE,229657
2021-04-04 23:08,NF,JUST LIKE YOU,5707
2021-04-04 23:12,NF,CLOUDS,243760
2021-04-04 23:16,NF,THAT'S A JOKE,229657
2021-04-04 23:20,NF,JUST LIKE YOU,251237
2021-04-04 23:24,NF,STORY,279941
2021-04-04 23:28,NF,PRIDEFUL,205769
2021-04-04 23:32,NF,LOST,234852
2021-04-04 23:35,NF,LAYERS,195226
2021-04-05 00:31,NF,DRIFTING,92746
2021-04-08 07:45,Michael Kiwanuka,Hero - Intro,55946
2021-04-08 07:48,Michael Kiwanuka,Hero,199133
2021-04-08 07:49,Michael Kiwanuka,Hard To Say Goodbye,13591
2021-04-08 07:52,JAY-Z,The Story of O.J.,231760
2021-04-08 08:07,JAY-Z,Smile,6373
2021-04-09 03:14,JAY-Z,The Story of O.J.,231760
2021-04-09 03:19,Michael Kiwanuka,You Ain't The Problem,249333
2021-04-09 03:22,Michael Kiwanuka,Rolling,171747
2021-04-09 03:26,Michael Kiwanuka,I've Been Dazed,265120
2021-04-09 03:28,Michael Kiwanuka,Piano Joint (This Kind Of Love) - Intro,138080
2021-04-09 03:32,Michael Kiwanuka,Piano Joint (This Kind Of Love),231587
2021-04-09 03:34,Michael Kiwanuka,Another Human Being,111560
2021-04-09 03:38,Michael Kiwanuka,Living In Denial,211267
2021-04-09 03:39,Michael Kiwanuka,Hero - Intro,80053
2021-04-09 03:42,Michael Kiwanuka,Hero,199133
2021-04-09 03:44,Michael Kiwanuka,Hard To Say Goodbye,95388
2021-04-09 03:48,Michael Kiwanuka,Final Days,19137
2021-04-09 03:48,NF,CLOUDS,243124
2021-04-09 03:52,NF,THAT'S A JOKE,229657
2021-04-09 03:53,Michael Kiwanuka,Interlude (Loving The People),55802
2021-04-09 03:53,Michael Kiwanuka,Solid Ground,621
2021-04-09 03:53,Michael Kiwanuka,Light,192
2021-04-09 04:52,NF,JUST LIKE YOU,195928
2021-04-09 04:53,BROCKHAMPTON,CHAIN ON (feat. JPEGMAFIA),38485
2021-04-09 04:55,BROCKHAMPTON,COUNT ON ME,155200
2021-04-09 04:59,BROCKHAMPTON,BANKROLL (feat. A$AP Rocky & A$AP Ferg),202560
2021-04-09 05:02,BROCKHAMPTON,THE LIGHT,222787
2021-04-09 05:07,BROCKHAMPTON,WINDOWS (feat. SoGone SoFlexy),288422
2021-04-09 05:15,Justin Timberlake,Mirrors,484147
2021-04-09 05:20,Justin Timberlake,Blue Ocean Floor,304995
